exp_string,gene_id,gene_name,gene_biotype,n_binding_site,binding_feature,l2fc_xlsite,padj_xlsite,l2fc_bsmax,padj_bsmin,feature_pct_UTR5,feature_pct_CDS,feature_pct_UTR3,feature_pct_intron,feature_pct_ncRNA_exon,feature_pct_ncRNA_intron,avg_iCLIP_tpm,human_homologs,mammalian_imp_target,mammalian_syp_target
L1_Imp,FBgn0000014,abd-A,protein_coding,2,UTR3,1.617308544169905,2.2335047034523905e-23,3.8162651585428495,0.011275473329063607,0,0,100,0,NA,NA,60.763608133333335,NA,FALSE,FALSE
L1_Imp,FBgn0000024,Ace,protein_coding,20,UTR3,3.4919463699233537,6.851310306307049e-120,4.22265238141654,2.7554367443881e-8,0,0,100,0,NA,NA,41.30964629333333,ACHE | BCHE,FALSE,TRUE
L1_Imp,FBgn0000036,nAChRalpha1,protein_coding,76,UTR3,3.753150133993872,5.176935130958565e-153,5.751175958677301,5.34396556479394e-15,0,0,100,0,NA,NA,47.81261988666667,CHRNA2 | CHRNA3 | CHRNA4 | CHRNA6,TRUE,TRUE
L1_Imp,FBgn0000037,mAChR-A,protein_coding,17,UTR3,3.6535301545885304,6.840156512151353e-96,3.8863032138847853,0.006783078420125035,0,0,100,0,NA,NA,22.487860059689467,CHRM1 | CHRM3 | CHRM4 | CHRM5,TRUE,TRUE
L1_Imp,FBgn0000038,nAChRbeta1,protein_coding,2,UTR3,1.9312687020297947,1.3117285124721962e-28,3.490409050989215,0.01581961786909017,0,0,100,0,NA,NA,26.386842,NA,FALSE,FALSE
L1_Imp,FBgn0000042,Act5C,protein_coding,50,UTR3,2.8281454846929908,3.570966694164305e-58,1.340178967689774,1.084156918088098e-13,0,0,100,0,NA,NA,1506.9460906666668,ACTB | ACTG1,TRUE,FALSE
L1_Imp,FBgn0000043,Act42A,protein_coding,29,UTR3,3.1054483460694913,1.54457906103312e-68,1.9747799466075862,1.5518980911663254e-7,0,0,100,0,NA,NA,68.26113333333333,ACTB | ACTG1,TRUE,FALSE
L1_Imp,FBgn0000046,Act87E,protein_coding,25,CDS:UTR3,4.087532880946736,1.0320554291818627e-116,2.5334743139024045,2.4097894701442735e-29,0,8,92,0,NA,NA,404.3375006666667,ACTB,FALSE,FALSE
L1_Imp,FBgn0000064,Ald1,protein_coding,44,UTR3,3.0250145117085254,1.1476286937566037e-55,4.430933453196046,4.469190557292436e-27,0,0,100,0,NA,NA,1132.4937814524956,ALDOA | ALDOB | ALDOC,TRUE,TRUE
L1_Imp,FBgn0000083,AnxB9,protein_coding,14,UTR3,2.255100841826825,1.4061749351449366e-37,2.8115782809124923,0.013421677141356824,0,0,100,0,NA,NA,118.06593201192213,ANXA11 | ANXA13 | ANXA2 | ANXA4 | ANXA5 | ANXA7,TRUE,FALSE
L1_Imp,FBgn0000108,Appl,protein_coding,67,UTR3,3.117295888869599,1.0396706697401495e-84,4.058495064690383,2.1911817362569395e-14,0,0,100,0,NA,NA,95.05781692318993,APLP1 | APLP2 | APP,TRUE,TRUE
L1_Imp,FBgn0000117,arm,protein_coding,7,UTR3,1.231354298903398,8.651191396222299e-13,2.5103273725218314,5.966019163543652e-4,0,0,100,0,NA,NA,14.42248414,CTNNB1 | JUP,TRUE,TRUE
L1_Imp,FBgn0000173,ben,protein_coding,21,UTR3,3.943547574199108,8.149330692598337e-104,3.7333847157114444,5.243767082615704e-25,0,0,100,0,NA,NA,168.393791,UBE2N | UBE2NL,FALSE,FALSE
L1_Imp,FBgn0000179,bi,protein_coding,7,CDS,0.7820373889556652,1.3073839129162991e-6,3.1832986613268113,8.511722296054038e-5,0,100,0,0,NA,NA,15.263454161933334,TBX2 | TBX3,FALSE,FALSE
L1_Imp,FBgn0000181,bic,protein_coding,13,UTR3,2.6753638335265655,1.729541814067625e-59,2.3228071386560853,7.883397834173138e-5,0,0,100,0,NA,NA,250.23019799999997,BTF3 | BTF3L4,TRUE,TRUE
L1_Imp,FBgn0000183,BicD,protein_coding,2,UTR3,1.1805038751602255,2.2345579271071955e-12,3.9968468031832134,0.011466959430424846,0,0,100,0,NA,NA,12.624502799999998,BICD1 | BICD2,TRUE,TRUE
L1_Imp,FBgn0000250,cact,protein_coding,2,UTR3,-0.1034232823095771,1,3.3164623128454966,0.017566772176131475,0,0,100,0,NA,NA,35.8545152131975,NFKBIA,FALSE,FALSE
L1_Imp,FBgn0000253,Cam,protein_coding,145,UTR3,4.899931065755032,6.432395974770857e-99,4.7733434137591395,2.756317733009776e-35,0,0,100,0,NA,NA,4883.5963435,CALM1 | CALM2 | CALM3 | CALML3,TRUE,TRUE
L1_Imp,FBgn0000259,CkIIbeta,protein_coding,163,CDS:intron:UTR3,4.9070760232534205,6.412369923074853e-175,4.011526083316063,7.747984125105736e-36,0,4.9079754601226995,94.47852760736197,0.6134969325153374,NA,NA,965.3713543333333,CSNK2B,TRUE,FALSE
L1_Imp,FBgn0000273,Pka-C1,protein_coding,71,UTR3,3.5214485201196335,2.339617893485501e-99,3.5586047856177614,4.1766820030077874e-70,0,0,100,0,NA,NA,376.7877424633333,PRKACA | PRKACB | PRKACG,TRUE,TRUE
L1_Imp,FBgn0000289,cg,protein_coding,12,UTR3,2.482532236216673,4.410425197879956e-49,2.41912893790892,3.6941348915167002e-6,0,0,100,0,NA,NA,62.38764443333333,NA,FALSE,FALSE
L1_Imp,FBgn0000299,Col4a1,protein_coding,30,UTR3,3.5306074014743913,1.1694099661843417e-68,2.628826554115078,8.247638789848447e-26,0,0,100,0,NA,NA,515.7904251333333,COL4A1 | COL4A2 | COL4A3 | COL4A5 | COL4A6,TRUE,FALSE
L1_Imp,FBgn0000308,chic,protein_coding,97,UTR3:UTR5,4.436138463706158,5.921126565368672e-109,3.7981633819005944,1.3338554829299236e-62,8.24742268041237,0,91.75257731958763,0,NA,NA,2217.2171985066666,PFN4,FALSE,FALSE
L1_Imp,FBgn0000319,Chc,protein_coding,8,UTR5,1.207301949869144,4.8320469497948544e-11,1.86926104364694,0.0013292545110699934,100,0,0,0,NA,NA,22.632099233333335,CLTC | CLTCL1,TRUE,TRUE
L1_Imp,FBgn0000370,crc,protein_coding,20,UTR3,2.72422872465721,2.4095583767100883e-70,1.4524530204899158,1.655852798891298e-12,0,0,100,0,NA,NA,307.0695376666667,NA,FALSE,FALSE
L1_Imp,FBgn0000382,csw,protein_coding,11,UTR3,2.7599391518772243,1.6662672705940154e-61,4.169646962364067,0.0037160925387585094,0,0,100,0,NA,NA,39.826663133333334,PTPN11 | PTPN6,TRUE,TRUE
L1_Imp,FBgn0000412,D1,protein_coding,13,UTR3,3.8422478624827012,2.4179960287971353e-78,4.443771238464168,1.9082428489766384e-8,0,0,100,0,NA,NA,72.80251,NA,FALSE,FALSE
L1_Imp,FBgn0000416,Sap-r,protein_coding,21,UTR3,2.34509774096474,5.518876318764906e-58,2.977803501920739,5.809911423340841e-5,0,0,100,0,NA,NA,57.901835133333336,PSAP | PSAPL1,TRUE,TRUE
L1_Imp,FBgn0000448,Hr3,protein_coding,8,UTR3:UTR5,1.8495910237589641,3.232303399218745e-30,2.112040976123992,0.02893943245685479,37.5,0,62.5,0,NA,NA,39.451938980866665,RORA | RORB | RORC,TRUE,TRUE
L1_Imp,FBgn0000451,ect,protein_coding,13,UTR3,2.8992974308027133,1.8619468133871e-31,1.4866105932921687,3.2440292517849935e-4,0,0,100,0,NA,NA,906.898284758,NA,FALSE,FALSE
L1_Imp,FBgn0000454,Dip-B,protein_coding,17,UTR3,3.141453841161874,1.6112663310718508e-59,3.444917106847147,7.180425586431078e-15,0,0,100,0,NA,NA,62.64216162053666,NA,FALSE,FALSE
L1_Imp,FBgn0000464,Lar,protein_coding,10,UTR3,-0.10708594483695884,1,2.621162035367408,7.182696603426462e-4,0,0,100,0,NA,NA,25.267730868584334,PTPRD | PTPRF | PTPRS,TRUE,TRUE
L1_Imp,FBgn0000479,dnc,protein_coding,59,UTR3,1.2534932274811073,3.622735736096228e-16,4.0280701429973105,3.624938415737122e-10,0,0,100,0,NA,NA,124.4938718527787,PDE4A | PDE4B | PDE4C | PDE4D,TRUE,TRUE
L1_Imp,FBgn0000541,E(bx),protein_coding,2,CDS,1.4265716011696186,3.8649858976389445e-17,4.641655063730252,8.694212153257366e-4,0,100,0,0,NA,NA,179.2154101721562,BPTF,TRUE,TRUE
L1_Imp,FBgn0000547,ed,protein_coding,30,UTR3,0.8387640747306625,1.702372091258498e-8,3.688052043868556,1.4581612454943448e-14,0,0,100,0,NA,NA,40.96618656333333,NA,FALSE,FALSE
L1_Imp,FBgn0000557,eEF1alpha2,protein_coding,32,UTR3,4.634157789837555,7.773238436316687e-147,5.170032262850527,1.7652199183110107e-11,0,0,100,0,NA,NA,93.51793013221666,EEF1A1 | EEF1A2,FALSE,FALSE
L1_Imp,FBgn0000567,Eip74EF,protein_coding,32,UTR3,2.2525621775716633,2.7682001636880918e-45,3.032339232156637,9.266873521759168e-35,0,0,100,0,NA,NA,107.21683886666666,ELF2,TRUE,FALSE
L1_Imp,FBgn0000568,Eip75B,protein_coding,12,UTR3,0.5911490281904194,5.899400977208676e-4,3.9060914209816535,3.9814233737466714e-5,0,0,100,0,NA,NA,51.24724433377525,NA,FALSE,FALSE
L1_Imp,FBgn0000575,emc,protein_coding,41,UTR3,3.2267112979364176,2.3907255629591954e-97,2.9170316735326693,1.9369477622824e-18,0,0,100,0,NA,NA,188.15077566666665,ID1 | ID2 | ID3 | ID4,TRUE,FALSE
L1_Imp,FBgn0000578,ena,protein_coding,26,UTR3,3.1073415394497714,1.5868920105510687e-92,4.164440600611149,3.6343730057154166e-15,0,0,100,0,NA,NA,57.90187709699333,ENAH | EVL | VASP,TRUE,TRUE
L1_Imp,FBgn0000579,Eno,protein_coding,16,UTR3,1.530806745386441,5.656183462476624e-26,3.9573025694426187,1.3425734818336904e-10,0,0,100,0,NA,NA,93.59903133333333,ENO1 | ENO2 | ENO3,TRUE,TRUE
L1_Imp,FBgn0000611,exd,protein_coding,48,UTR3,4.4119583437144065,7.850879903281121e-174,4.968794418301382,2.964432971433335e-4,0,0,100,0,NA,NA,105.51562413333333,PBX1 | PBX2 | PBX3 | PBX4,TRUE,TRUE
L1_Imp,FBgn0000633,CG17716,protein_coding,4,UTR3,0.8684789382305529,5.645751823421857e-7,3.8195392537262065,0.01187590260046211,0,0,100,0,NA,NA,14.771928903228497,NA,FALSE,FALSE
L1_Imp,FBgn0000635,Fas2,protein_coding,15,UTR3,1.8720138878367283,5.537244818462247e-38,4.209463527852381,6.317297255772884e-7,0,0,100,0,NA,NA,92.58331279000001,NCAM1 | NCAM2,TRUE,TRUE
L1_Imp,FBgn0000636,Fas3,protein_coding,11,UTR3,0.795043177894632,1.2419459393729656e-4,1.9639030864932274,1.7882606740299007e-5,0,0,100,0,NA,NA,83.4866543,NA,FALSE,FALSE
L1_Imp,FBgn0000659,fkh,protein_coding,15,UTR3,3.8136527765937407,1.9378546406379237e-97,2.817316714505003,3.370273540435607e-7,0,0,100,0,NA,NA,34.7268386625,FOXA1 | FOXA2,FALSE,FALSE
L1_Imp,FBgn0000667,Actn,protein_coding,33,UTR3,3.239711413094447,1.2351611903756277e-65,3.6623523761915564,8.392106147454815e-14,0,0,100,0,NA,NA,445.1391836009088,ACTN1 | ACTN2 | ACTN3 | ACTN4,TRUE,TRUE
L1_Imp,FBgn0000719,fog,protein_coding,2,UTR3,1.380412211252958,1.5683738637371753e-22,3.1208866325287405,0.035800780944265885,0,0,100,0,NA,NA,31.6874351476202,NA,FALSE,FALSE
L1_Imp,FBgn0001090,bnb,protein_coding,75,UTR3:CDS,4.019457589190656,5.007515458583548e-111,4.239564323539797,3.8851725721498114e-35,0,8,92,0,NA,NA,526.3562666666667,NA,FALSE,FALSE
L1_Imp,FBgn0001092,Gapdh2,protein_coding,20,UTR3,2.938303603304107,2.965432691495146e-93,2.093241786385701,1.2570821939135404e-17,0,0,100,0,NA,NA,494.06498,GAPDH | GAPDHS,TRUE,FALSE
L1_Imp,FBgn0001105,Gbeta13F,protein_coding,83,CDS:UTR3,4.1362831976129515,1.0211788365458892e-84,3.9581691934407552,1.2707568862416367e-11,0,3.614457831325301,96.3855421686747,0,NA,NA,420.679426,GNB1 | GNB2 | GNB3 | GNB4,TRUE,TRUE
L1_Imp,FBgn0001112,Gld,protein_coding,28,UTR3,3.2432492332961287,1.8522572400259196e-63,3.435579739425387,4.1177452103876793e-7,0,0,100,0,NA,NA,67.1162298,CHDH,FALSE,FALSE
L1_Imp,FBgn0001122,Galphao,protein_coding,184,UTR3,4.731520947112356,3.0569065565877562e-186,4.674663595754457,1.7992630364703113e-36,0,0,100,0,NA,NA,374.9442760596687,GNAI2 | GNAO1 | GNAT3,TRUE,TRUE
L1_Imp,FBgn0001139,gro,protein_coding,8,UTR3,2.7369036309796475,2.9354846440215124e-49,2.8240824463509995,0.002437373042538924,0,0,100,0,NA,NA,33.958864462443444,TLE1 | TLE2 | TLE3 | TLE4,TRUE,TRUE
